link,text,title,type
http://www.juzizhai.com/ju/3130.html,1.不能“只为了爱——盲目的爱，——而将别的人生的要义全盘疏忽了”。&nbsp&nbsp&nbsp&nbsp——鲁迅2.真正的勇士敢于直面惨淡的人生，敢于正视淋漓的鲜血。&nbsp&nbsp&nbsp&nbsp——鲁迅3.游戏是儿童最正当的行为，玩具是儿童的天使。&nbsp&nbsp&nbsp&nbsp——鲁迅4.哪里有天才，我是把别人喝咖啡的工夫都用在工作上的。..,鲁迅 名人名言,名人名言
http://www.juzizhai.com/ju/3128.html,1.立身成败，在于所染。&nbsp&nbsp&nbsp&nbsp——（唐）魏徵2.只要做事正直，莫问成败损益。&nbsp&nbsp&nbsp&nbsp——网络收集3.天有阴晴，事有成败。&nbsp&nbsp&nbsp&nbsp——网络收集4.成败论千古，人间最不公。&nbsp&nbsp&nbsp&nbsp——（清）袁牧5.事情的成败以结果为断，中间的波折不足为论。&nbsp&nbsp&nbsp&nbsp—..,关于成败的名人名言,名人名言
http://www.juzizhai.com/ju/3127.html,1.加紧学习，抓住中心，宁精勿杂，宁专勿多。&nbsp&nbsp&nbsp&nbsp——周恩来2.为中华之崛起而读书。&nbsp&nbsp&nbsp&nbsp——周恩来3.与有肝胆人共事，从无字句处读书。&nbsp&nbsp&nbsp&nbsp——周恩来4.浮舟沧海，立马昆仑。&nbsp&nbsp&nbsp&nbsp——周恩来5.我们爱我们的民族，这是我们自信心的泉源。&nbsp&nbsp&nbsp&..,周恩来名人名言 周总理名人名言,名人名言
http://www.juzizhai.com/ju/3126.html,,关于工作的名人名言,名人名言
http://www.juzizhai.com/ju/3125.html,1.在任何学校里，最重要的是课程的思想政治方向，这完全由教学人员来决定。&nbsp&nbsp&nbsp&nbsp——列宁2.我们一定要给自己提出这样的任务：第一，学习，第二是学习，第三还是学习。&nbsp&nbsp&nbsp&nbsp——列宁3.我们一定要给自己提出这样的任务：第一，学习，第二是学习，第三还是学习。&nbsp&nbsp&nbsp&nbsp——列宁..,列宁名人名言,名人名言
http://www.juzizhai.com/ju/3124.html,,关于智慧的名人名言,名人名言
http://www.juzizhai.com/ju/3122.html,1.“思考”应当走到众人前面去，“愿望”不妨留在后面。&nbsp&nbsp&nbsp&nbsp——富兰克林2.你热爱生命吗？那么别浪费时间，因为时间是组成生命的材料。&nbsp&nbsp&nbsp&nbsp——富兰克林3.惜时如金，如果有什么需要明天做的事，最好现在就开始。&nbsp&nbsp&nbsp&nbsp——富兰克林4.青年人的教育是国家的基石。&nbsp&nbsp..,富兰克林名人名言,名人名言
http://www.juzizhai.com/ju/3121.html,,关于时间的名人名言,名人名言
http://www.juzizhai.com/ju/3079.html,1.劳动可以使我们摆脱三大灾祸：寂寞、恶习、贫困。——歌德2.智慧最后的结论是：生活也好，自由也好，都要天天去赢取，这才有资格去享有它。——歌德3.最糟糕的是人们在生活中经常受到错误志向的阻碍而不自知，真到摆脱了那些阻碍时才能明白过来。——歌德4.一个人无论往哪里走，无论从事什么事业，他终将回到本性指给的..,歌德名人名言,名人名言
http://www.juzizhai.com/ju/3078.html,,如何面对痛苦的名人名言,名人名言
